     1.001251192,427,,page-faults,998793579,100.00
     1.001251192,10,,context-switches,998833677,100.00
     2.002340922,0,,page-faults,998709888,100.00
     2.002340922,7,,context-switches,998699683,100.00
     3.003143405,0,,page-faults,999000391,100.00
     3.003143405,4,,context-switches,998994509,100.00
     4.003387994,0,,page-faults,997811688,100.00
     4.003387994,6,,context-switches,997807128,100.00
     5.004233229,0,,page-faults,999217607,100.00
     5.004233229,3,,context-switches,999225702,100.00
     6.005408961,0,,page-faults,999070374,100.00
     6.005408961,4,,context-switches,999074254,100.00
     7.005650002,0,,page-faults,997574109,100.00
     7.005650002,7,,context-switches,997561482,100.00
     8.006474124,0,,page-faults,998785274,100.00
     8.006474124,2,,context-switches,998842442,100.00
     9.006753602,0,,page-faults,998210910,100.00
     9.006753602,4,,context-switches,998168763,100.00
    10.006908319,16,,page-faults,997980412,100.00
    10.006908319,4,,context-switches,997946592,100.00
