,ns,host,time,value,plugin_running_on,swan_loadpoint_qps,achieved_qps_percent,swan_experiment,swan_aggressor_name,swan_phase,swan_repetition,throughputs
982,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 06:59:05.139,361.9,ovh8,350000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 13;,0,
983,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 23:43:12.437,225.5,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 4;,0,
984,/intel/swan/mutilate/ovh8/percentile/5th,ovh8,2016-12-19 13:03:47.915,115.3,ovh8,325000,100.02%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 12;,0,
985,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-19 19:34:10.842,154.7,ovh8,425000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 16;,0,
986,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-19 21:38:48.823,335.514472,ovh8,275000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 10;,0,
987,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 16:36:43.463,344.2,ovh8,425000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 16;,0,14.0
988,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-20 02:58:42.825,218.3,ovh8,175000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 6;,0,
989,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-20 07:16:46.109,400.374825,ovh8,400000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 15;,0,
990,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 06:23:33.363,312.5,ovh8,250000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 9;,0,
991,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-20 02:41:01.383,246.2,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 4;,0,
